Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Oleiphilaceae,37,10,0,42,0,0,31,0,40,43,14,0,0,0,0,0,26,0,0,0,0,0,0,51,10,0,16,0,0,0,0
Zooshikellaceae,15,0,0,0,0,14,0,0,18,27,0,0,0,0,0,0,19,0,0,0,0,16,13,27,0,0,52,0,0,0,0
Moraxellaceae,873,459,58,241,438,478,626,416,4464,3002,913,106,228,175,218,238,2692,346,377,150,464,969,470,2659,393,444,4742,662,279,715,435
Chromatiaceae,318,55,0,38,52,247,206,110,330,357,109,250,39,31,57,13,411,48,263,41,48,260,75,213,94,398,387,58,0,120,244
Ectothiorhodospiraceae,105,50,0,105,36,194,874,124,219,74,77,87,10,0,59,14,259,36,664,88,23,249,47,65,51,195,481,28,0,123,317
Wenzhouxiangellaceae,54,0,0,0,0,0,68,20,18,0,0,0,0,0,0,0,21,0,28,0,0,28,12,0,0,57,63,0,0,0,26
Thioalkalibacteraceae,31,0,0,0,0,0,0,55,0,10,0,27,0,0,0,0,129,0,102,0,0,271,17,0,0,26,109,0,0,37,0
Thioalkalispiraceae,27,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,30,0,108,26,0,35,0,0,0,24,15,0,0,63,0
Aeromonadaceae,608,92,0,404,79,758,1301,508,448,289,272,410,39,35,119,87,866,67,955,205,88,621,156,137,697,556,1274,93,24,679,940
Microbulbiferaceae,137,20,0,61,23,98,207,156,44,34,55,27,19,0,26,14,232,0,185,129,14,218,40,154,16,119,332,43,0,168,130
Spongiibacteraceae,129,0,0,0,0,41,27,61,0,11,15,0,0,0,0,0,21,0,0,0,0,12,12,0,19,0,290,10,0,0,47
Cellvibrionaceae,56,11,0,20,11,120,334,14,25,75,42,11,18,14,26,19,42,13,24,28,19,39,22,98,46,51,1117,47,0,58,34
Halieaceae,10,14,0,52,0,182,63,83,25,26,10,30,0,0,49,0,187,0,0,10,0,195,24,0,0,26,51,0,0,20,21
Orbaceae,647,55,0,21,32,71,40,66,490,242,141,0,70,12,12,45,143,0,82,53,134,66,41,255,0,39,282,51,0,49,58
Methylococcaceae,184,122,0,105,84,145,239,213,189,232,108,40,21,44,92,39,204,51,420,43,27,132,111,170,94,179,1316,47,0,139,173
Cardiobacteriaceae,123,0,0,15,11,0,51,11,18,0,39,0,0,0,0,0,0,0,38,0,0,11,0,0,13,0,331,0,0,0,15
Sinobacteraceae,59,0,0,0,0,134,41,94,0,0,0,37,0,0,10,0,61,11,48,76,0,68,37,0,0,35,87,0,0,65,80
Steroidobacteraceae,25,0,0,18,0,18,29,0,0,0,13,0,0,0,0,0,74,0,0,28,0,14,0,0,0,15,95,0,0,42,152
Acidiferrobacteraceae,37,0,0,0,0,136,32,56,16,0,22,30,11,0,20,0,100,0,50,39,0,93,18,0,14,35,245,0,0,50,196
Arcobacteraceae,3590,1057,0,348,742,443,178,480,5254,6598,1283,121,294,310,203,185,4670,77,498,91,285,1552,640,5349,573,363,792,948,0,1243,317
Campylobacteraceae,3330,1013,0,425,958,704,68887,600,5384,7151,1788,400,5312,770,48569,960,5234,1605,852,132,18280,2536,61073,102174,1430,335,17954,99405,30,1813,4965
Thiovulaceae,805,193,0,106,150,165,53,128,1089,1205,297,45,51,63,62,36,874,21,101,18,60,351,126,1078,90,108,208,193,0,297,126
Sulfurospirillaceae,541,77,0,35,70,83,20,86,439,580,98,0,28,42,31,10,568,17,28,14,23,251,60,486,25,21,110,79,0,88,41
