Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Thermosulfuriphilus,Thermosulfuriphilus ammonigenes,103,31,0,0,18,0,0,10,170,169,32,0,0,0,0,0,142,0,0,0,0,34,0,0,0,0,0,16,0,26,14
Thermosynechococcus,Thermosynechococcus sp.,0,0,0,0,0,0,0,0,0,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
Thermosynechococcus,Thermosynechococcus vestitus,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotoga,Thermotoga caldifontis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Thermotoga,Thermotoga petrophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
Thermotoga,Thermotoga profunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0
Thermotoga,Thermotoga sp.,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,80,0,0,0,0,0,0,59,0,0,0,25,0,12,0
Thermotomaculum,Thermotomaculum hydrothermale,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,23,0,0,0,0,10,18,0,0,0,0,0,0,0,0
Thermovibrio,Thermovibrio ammonificans,50,0,0,0,0,0,0,0,65,51,10,0,0,0,0,0,45,0,0,0,0,20,0,51,0,0,0,0,0,0,0
Thermovirga,Thermovirga lienii,0,0,0,0,0,70,0,0,15,15,0,0,0,0,0,0,12,0,0,0,0,0,0,18,0,0,76,0,0,0,0
